especie,subfamily,genus,winged_queen,queen_HeadWidth,observations,antwiki
Mycetomoellerius_farinosus,Myrmicinae,Mycetomoellerius,Unknown,NA,NA,https://antwiki.org/wiki/Mycetomoellerius_farinosus
Mycocepurus_goeldii,Myrmicinae,Mycocepurus,Yes,NA,NA,https://antwiki.org/wiki/Mycocepurus_goeldii
Myrmicocrypta_buenzlii,Myrmicinae,Myrmicocrypta,Yes,NA,NA,https://antwiki.org/wiki/Myrmicocrypta_buenzlii
Myrmicocrypta_squamosa,Myrmicinae,Myrmicocrypta,Yes,NA,NA,https://antwiki.org/wiki/Myrmicocrypta_squamosa
Nylanderia_caeciliae,Formicinae,Nylanderia,Unknown,NA,NA,https://antwiki.org/wiki/Nylanderia_caeciliae
Nylanderia_guatemalensis,Formicinae,Nylanderia,Yes,0.76,"No site diz que a rainha é igual a da vividula, que tbm ocorre na amazonia brasileira. Então peguei as medidas de Nylanderia vividula em: https://www.antwiki.org/wiki/Nylanderia_vividula",https://antwiki.org/wiki/Nylanderia_guatemalensis
Nylanderia_steinheili,Formicinae,Nylanderia,Yes,0.755,mean between 0.73 and 0.78,https://antwiki.org/wiki/Nylanderia_steinheili
Ochetomyrmex_neopolitus,Myrmicinae,Ochetomyrmex,Yes,1.58,NA,https://antwiki.org/wiki/Ochetomyrmex_neopolitus
Octostruma_balzani,Myrmicinae,Octostruma,Yes,0.635,mean between 0.62 and 0.65,https://antwiki.org/wiki/Octostruma_balzani
Octostruma_betschi,Myrmicinae,Octostruma,Yes,0.58,NA,https://antwiki.org/wiki/Octostruma_betschi
Octostruma_iheringi,Myrmicinae,Octostruma,Yes,0.84,NA,https://antwiki.org/wiki/Octostruma_iheringi
Odontomachus_meinerti,Ponerinae,Odontomachus,Yes,NA,NA,https://antwiki.org/wiki/Odontomachus_meinerti
Odontomachus_scalptus,Ponerinae,Odontomachus,Yes,NA,NA,https://antwiki.org/wiki/Odontomachus_scalptus
Odontomachus_spissus,Ponerinae,Odontomachus,Yes,NA,NA,https://antwiki.org/wiki/Odontomachus_spissus
Pachycondyla_harpax,Ponerinae,Pachycondyla,Yes,NA,NA,https://antwiki.org/wiki/Pachycondyla_harpax
Paratrachymyrmex_carib,Myrmicinae,Paratrachymyrmex,Unknown,NA,NA,https://antwiki.org/wiki/Paratrachymyrmex_carib
Paratrachymyrmex_diversus,Myrmicinae,Paratrachymyrmex,Yes,NA,NA,https://antwiki.org/wiki/Paratrachymyrmex_diversus
Pheidole_sagax,Myrmicinae,Pheidole,Unknown,NA,NA,https://antwiki.org/wiki/Pheidole_sagax
Pheidole_sp.1,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.21,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.7,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_bufo,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_bufo
Pheidole_cataractae,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_cataractae
Pheidole_cursor,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_cursor
Pheidole_demeter,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_demeter
Pheidole_embolopyx,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_embolopyx
Pheidole_flavens,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_flavens
Pheidole_fracticeps,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_fracticeps
Pheidole_jelskii,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_jelskii
Pheidole_mamore,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_mamore
Pheidole_meinerti,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_meinerti
Pheidole_microps,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_microps
Pheidole_rudigenis,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_rudigenis
Pheidole_scolioceps,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_scolioceps
Pheidole_sp.10,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.11,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.12,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.14,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.15,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.16,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.17,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.18,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.19,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.2,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.22,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.25,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.27,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.28,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.3,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.5,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.6,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_sp.9,Myrmicinae,Pheidole,Unknown,NA,NA,NA
Pheidole_susannae,Myrmicinae,Pheidole,Yes,NA,NA,https://antwiki.org/wiki/Pheidole_susannae
